movieId,imdbId,tmdbId
1.0,114709.0,862.0
2.0,113497.0,8844.0
3.0,113228.0,15602.0
4.0,114885.0,31357.0
5.0,113041.0,11862.0
6.0,113277.0,949.0
7.0,114319.0,11860.0
8.0,112302.0,45325.0
9.0,114576.0,9091.0
10.0,113189.0,710.0
11.0,112346.0,9087.0
12.0,112896.0,12110.0
13.0,112453.0,21032.0
14.0,113987.0,10858.0
15.0,112760.0,1408.0
16.0,112641.0,524.0
17.0,114388.0,4584.0
18.0,113101.0,5.0
19.0,112281.0,9273.0
20.0,113845.0,11517.0
21.0,113161.0,8012.0
22.0,112722.0,1710.0
23.0,112401.0,9691.0
24.0,114168.0,12665.0
25.0,113627.0,451.0
26.0,114057.0,16420.0
27.0,114011.0,9263.0
28.0,114117.0,17015.0
29.0,112682.0,902.0
30.0,115012.0,37557.0
31.0,112792.0,9909.0
32.0,114746.0,63.0
34.0,112431.0,9598.0
35.0,112637.0,47018.0
36.0,112818.0,687.0
37.0,112286.0,139405.0
38.0,113442.0,33689.0
39.0,112697.0,9603.0
40.0,112749.0,34615.0
41.0,114279.0,31174.0
42.0,112819.0,11443.0
43.0,114272.0,35196.0
44.0,113855.0,9312.0
45.0,114681.0,577.0
46.0,113347.0,11861.0
47.0,114369.0,807.0
48.0,114148.0,10530.0
49.0,114916.0,8391.0
50.0,114814.0,629.0
52.0,113819.0,11448.0
53.0,110299.0,49133.0
54.0,112499.0,26441.0
55.0,113158.0,97406.0
57.0,113321.0,9089.0
58.0,110877.0,11010.0
59.0,112714.0,99040.0
60.0,113419.0,11359.0
61.0,116260.0,17182.0
62.0,113862.0,2054.0
63.0,116126.0,10607.0
64.0,118002.0,19760.0
65.0,115683.0,9536.0
66.0,116839.0,11525.0
68.0,113149.0,4482.0
69.0,113118.0,10634.0
70.0,116367.0,755.0
71.0,113010.0,11859.0
72.0,113537.0,28387.0
73.0,113828.0,48750.0
74.0,115644.0,20927.0
76.0,114367.0,9102.0
77.0,113973.0,124626.0
78.0,112744.0,27526.0
79.0,116731.0,9623.0
80.0,112445.0,46785.0
81.0,114660.0,400.0
82.0,112379.0,880.0
83.0,114039.0,146599.0
84.0,113612.0,188588.0
85.0,112365.0,8447.0
86.0,118158.0,10534.0
87.0,116151.0,17414.0
88.0,115697.0,13997.0
89.0,113972.0,2086.0
92.0,117002.0,9095.0
93.0,114825.0,12158.0
94.0,115639.0,9283.0
95.0,115759.0,9208.0
96.0,113403.0,40154.0
97.0,113247.0,406.0
98.0,111173.0,45549.0
99.0,113283.0,63076.0
100.0,115907.0,11062.0
101.0,115734.0,13685.0
102.0,117102.0,47475.0
103.0,118040.0,2045.0
104.0,116483.0,9614.0
105.0,112579.0,688.0
107.0,117110.0,10874.0
108.0,112646.0,89333.0
110.0,112573.0,197.0
111.0,75314.0,103.0
112.0,113326.0,33542.0
113.0,115645.0,43566.0
114.0,113774.0,71754.0
116.0,112373.0,51352.0
117.0,115033.0,16934.0
118.0,116606.0,10324.0
119.0,114536.0,78406.0
121.0,106473.0,32119.0
122.0,103859.0,11066.0
123.0,109424.0,11104.0
124.0,114808.0,37975.0
125.0,116324.0,2074.0
126.0,110647.0,27793.0
129.0,114131.0,110972.0
130.0,112364.0,32622.0
131.0,113107.0,73067.0
132.0,113451.0,11863.0
135.0,116130.0,9101.0
137.0,113756.0,5757.0
140.0,118055.0,9302.0
141.0,115685.0,11000.0
144.0,112585.0,16388.0
145.0,112442.0,9737.0
146.0,112342.0,30765.0
147.0,112461.0,10474.0
148.0,112427.0,22279.0
149.0,109093.0,30157.0
150.0,112384.0,568.0
151.0,114287.0,11780.0
152.0,112288.0,34996.0
153.0,112462.0,414.0
154.0,61395.0,649.0
155.0,112495.0,1873.0
156.0,112541.0,5894.0
157.0,109370.0,1775.0
158.0,112642.0,8839.0
159.0,112688.0,20649.0
160.0,112715.0,10329.0
161.0,112740.0,8963.0
162.0,109508.0,26564.0
163.0,112851.0,8068.0
164.0,112857.0,8512.0
165.0,112864.0,1572.0
166.0,112887.0,13552.0
167.0,113044.0,259209.0
168.0,113071.0,6520.0
169.0,113114.0,9073.0
170.0,113243.0,10428.0
